'fromvheinemannmdcberlinde' | In regular: 3 | In spam: 0
'wednov' | In regular: 3 | In spam: 3
'returnpathvheinemannmdcberlinde' | In regular: 3 | In spam: 0
'receivedfrom' | In regular: 69 | In spam: 31
'withesmtp' | In regular: 38 | In spam: 14
'esmtpid' | In regular: 35 | In spam: 14
'formbulacuairugnl' | In regular: 25 | In spam: 18
'mbulacuairugnlwed' | In regular: 7 | In spam: 1
'fromvheine' | In regular: 3 | In spam: 0
'withsmtp' | In regular: 15 | In spam: 9
'smtpid' | In regular: 12 | In spam: 9
'datewed' | In regular: 7 | In spam: 2
'fromfens' | In regular: 3 | In spam: 0
'fensoffice' | In regular: 6 | In spam: 0
'officeberlinvheinemannmdcberlinde' | In regular: 3 | In spam: 0
'tombulacuairugnl' | In regular: 11 | In spam: 13
'jobmarket' | In regular: 3 | In spam: 0
'contenttypetextplain' | In regular: 30 | In spam: 5
'charsetusascii' | In regular: 12 | In spam: 5
'xaimailscannerinformationplease' | In regular: 28 | In spam: 13
'pleasecontact' | In regular: 28 | In spam: 13
'contacthelpdeskairugnl' | In regular: 28 | In spam: 13
'helpdeskairugnlfor' | In regular: 28 | In spam: 13
'formore' | In regular: 30 | In spam: 13
'moreinformation' | In regular: 28 | In spam: 13
'xaimailscannerfound' | In regular: 28 | In spam: 13
'foundto' | In regular: 30 | In spam: 13
'tobe' | In regular: 31 | In spam: 17
'beclean' | In regular: 28 | In spam: 13
'xaimailscannerspamchecknot' | In regular: 27 | In spam: 0
'notspam' | In regular: 27 | In spam: 0
'spamspamassassin' | In regular: 19 | In spam: 13
'xaimailscannerspamscoress' | In regular: 4 | In spam: 0
'statusro' | In regular: 25 | In spam: 9
'xstatusu' | In regular: 25 | In spam: 9
'xkmailencryptionstate' | In regular: 26 | In spam: 13
'xkmailsignaturestate' | In regular: 26 | In spam: 13
'dearfens' | In regular: 3 | In spam: 0
'fensmember' | In regular: 3 | In spam: 0
'pleasefind' | In regular: 3 | In spam: 0
'fromthe' | In regular: 7 | In spam: 9
